collection;number;title
red;175;Ты, за нас принявший муки
red;176;Мои все прегрешенья несу к ногам Христа
red;177;Как тяжелы мои грехи
red;178;Будь милосерд ко мне, Христос!
red;179;Помилуй меня, Боже
red;180;Создал Бог человека
red;181;Боже, предстали по воле Твоей
red;182;На браке в Кане гостем был
red;183;Блажен тот дом
red;184;Господь вас Сам соединил
red;185;Крепок союз, что нас в любви Христа связал
red;186;Здесь двое пред Твоим лицом
red;187;В храме быть Твоем люблю!
red;188;Господь Иисус, пребудь средь нас
red;189;Мой Господь, в Твоем я храме
red;190;О, день воскресный радостный!
red;191;Пребудь средь нас, Господь Иисус
red;192;Бог на этом месте
red;193;Боже наш, Христе, мы здесь
red;194;Господь! Душа внимать готова
red;195;О Иисус, Спаситель наш
red;196;Звонко в храме колокол звонит
red;197;О Боже милосердный, Ты нас благослови
red;198;Ты позволил снова нам услышать Слово
red;199;О наш Спаситель, вновь Тебе поем
red;200;О, приди же ко мне, Иисус
red;201;Ночь землю покрывает
red;202;Отче Небесный, ночь прошла
red;203;Неба и земли Создатель
red;204;Землю укрывает вновь ночная мгла
red;205;С тихой утренней зарею
red;206;Покинувши сна ложе
red;207;Я устал – пошли покой
red;208;Ярким румянцем горят небеса
red;209;Пребудь со мной! Уж свет сменился мглой
red;210;О дух мой, окрылись
red;211;Ночь наступила, полна тишиною
red;212;Ночь, тихою стопою к земле сойдя
red;213;О Иисус, настала ночь!
red;214;Утро каждое милость вновь
red;215;Вечер окутал землю вновь
red;216;Зачем робеть и унывать
red;217;Даровано, Господь, Тобой спасительное Слово
red;218;Словом Твоим сильным
red;219;Открой сердца Ты чад Своих
red;220;Шел сеятель с зернами
red;221;Всевластный Защитник мой, Бог
red;222;Господь нам крепость и оплот
red;223;День за днем и каждое мгновенье
red;224;Благодатная скала мне спасение дает
red;225;Нашел опору я спасенья
red;226;Коль веры нет
red;227;О благодать! Спасен тобой
red;228;Кто Богу дни свои вверяет
red;229;Господь – мой Пастырь
red;230;Пока Христос со мною, врагов я не страшусь
red;231;Предай свое хожденье
red;232;Ничто, ничто не превзойдет
red;233;Веруем в Бога мы
red;234;Во всем, что совершаю
red;235;На Бога уповаю, когда я день встречаю
red;236;Бог древо жизни посадил
red;237;Пред троном Божьим
red;238;У милости Божьей в долгу
red;239;О Христе пою я
red;240;Плату за грех
red;241;О, моя отрада
red;242;Таков, как есть, без дел, без слов
red;243;Ищи везде – ни в ком, нигде…
red;244;Как не петь мне гимнов Богу!
red;245;Когда я на Тебя взираю
red;246;О Спаситель! Кто познает глубину Твоей любви?
red;247;Я на Агнца уповаю
red;248;Бывает, груз вины нас давит
red;249;Когда, отчаявшись в беде
red;250;И пусть другой идет искать
red;251;На Бога уповаю, на лик Его взираю
red;252;Живу прощением Христа
red;253;Стремлюсь всем сердцем воспевать
red;254;О, направь ко славе вышней
red;255;Боже, под кровом вечной любви
red;256;Всевышний Бог наш и Отец
red;257;Господь, в нас веру укрепи
red;258;Возьми меня отныне и впереди
red;259;Иисус, покров душе
red;260;Отец Небесный, наш Господь
red;261;Христос, Ты – Свет Божественный
red;262;Господь, услышь мое моленье
red;263;Отец Небесный, Бог Великий
red;264;О, приди, мой Бог и радость
red;265;Собравшись пред лицом Твоим
red;266;О Боже наш, благослови
red;267;О Господи, открой мне Твой путь
red;268;О Агнец Божий, Ты, пришедший с высоты
red;269;О Боже, мне внемли ради Христа
red;270;Всюду среди жизни сей
red;271;Иисус Преблагодатный
red;272;Хвалу Тебе, Отец, воздам
red;273;О Иегова, через волны, чрез пустыни нас веди
red;274;Бог, Создатель мой, будь всегда со мной
red;275;Жажду я, Спаситель мой, песнь воспеть Тебе хваленья
red;276;О Спаситель, через волны и пустыни нас веди
red;277;Всё в Божьей власти
red;278;Как могу я прийти
red;279;Услыши меня
red;280;Создатель неба звездного
red;281;Даруй нам Слова благодать
red;282;Пребудь в нас благодатью
red;283;Хочу везде и всюду я быть, Господь, Твоим
red;284;Господь Иисус, приди
red;285;Бесподобная, живая Божья вечная любовь
red;286;Будь Главою нам!
red;287;Ближе, Господь, к Тебе
red;288;О Господь, веди мой чёлн
red;289;Господи Всевышний, дай мне в этой жизни…
red;290;Благодарю Тебя, Христе
red;291;Молись, дитя
red;292;О всеблагой Иисус Христос
red;293;Будь милосерд, о Боже мой!
red;294;Научи меня, Боже, молиться
red;295;О щедрый Отче всех людей
red;296;О, Боже мой, восстанови мой падший дух
red;297;Я встану на колени
red;298;Иисус единственный, в сердце мое войди
red;299;Люблю, Господь, Твой дом
red;300;Дай мне силу, Бог Спаситель, веру твердо сохранить
red;301;Избавь, Спаситель, от беды
red;302;О, образ совершенный любви и чистоты!
red;303;Глаза свои к небу возвожу
red;304;Всех благ источник совершенный
red;305;В любви горячей возношу к Тебе я душу
red;306;Господь, Ты милостив
red;307;О Боже, дух наш успокой
red;308;Охрани, Господь, меня
red;309;О Иисус, блаженство наше!
red;310;Чистое сердце сотвори
red;311;Господи Боже, не оставь в забвенье
red;312;Ты благодатной силой и защитой
red;313;Кто знает час своей кончины?
red;314;Пред Твоим троном предстою я
red;315;В вере стой, народ Христа
red;316;Найдет ли здесь в мире душа кров родной
red;317;Любовь Твоя зовет нас
red;318;Все, кто крестились во Христа
red;319;Дух, вода и кровь взывают
red;320;Однажды я, приняв Крещенье
red;321;Предай всё в руки Бога
red;322;О Иисус, Ты – Царь царей
red;323;Блажен тот, кто себя вруча
red;324;Господь! Кто может пребывать
red;325;Отцы наши с верой трудились
red;326;Ради Христа оставлю грех
red;327;Пришло к нам снова лето
red;328;Я не оставлю Бога, ведь Он всегда со мной
red;329;Святая воля Божия свершается всё время
red;330;О, имя Иисуса! Нам так сладостно оно!
red;331;Христос – основа Церкви
red;332;В мире шумном и мятежном
red;333;Господь нам щит из рода в род
red;334;Любви святой дыханье
red;335;Нас Христос к Себе зовет
red;336;Я знаю, да, я знаю, что жив Спаситель мой
red;337;От всех небесных и земных
red;338;Иисуса глас услышал я
red;339;Ubi caritas
red;340;Мой Господь всегда со мною
red;341;Нам спасение – отрада
red;342;О человек, оплачь свой грех
red;343;Хочу любить Тебя, Предвечный
red;344;Неразделимы во Христе
red;345;Бог есть любовь
red;346;Живи во мне, Спаситель
red;347;День после ночи
red;348;Христос зовет: «За Мною вслед идите, Христиане»
red;349;Божьи дети днем и ночью
red;350;Возликуй, мой дух нетленный
red;351;Жив Христос, Спаситель мой
red;352;Бог создал мир, полный чудес
red;353;Приносим днем и ночью мы хвалу и поклонение
red;354;Хвала и честь Тебе, о Боже Отче!
red;355;Воскликни Богу, вся земля!
red;356;Мы будем в пенье прославлять
red;357;Сколь славен
red;358;Прославим Христа! Он спасение дал
red;359;О Триединый, неизменный
red;360;Тебе, Господь наш, честь мы воздаем
red;361;Славьте Бога со святыми
red;362;Мы Творцу Вселенной вознесем хвалу
red;363;Творенья Божьи на земле
red;364;Славь, душа, Творца и Бога!
red;365;Мы славим Тебя, наш Господь и Создатель
red;366;Господня вся земля
red;367;Весть о Христе мы в мир несем
red;368;Как велика Твоя верность
red;369;Великий Бог! Когда на мир сморю я
red;370;Руки к небу подняв
red;371;Миром Господа восславим!
red;372;Приди, Господь, и дрогнет враг
red;373;Дозволь же, о Создатель
red;374;Славьте, народы, Бога сил
red;375;Воздайте хвалу Владыке владык
red;376;Боже, славим мы Тебя
red;377;Господа славь ты, мой дух
red;378;Хвала и честь Царю Небес
red;379;Благодарные сердца, поспешите в дом Отца!
red;380;Славьте Царя Христа!
red;381;Любовь Господню прославляю
red;382;О, если б тысячью устами
red;383;Прими хвалу, благодаренье
red;384;Тебе, Создатель мой, хваленье
red;385;Воспойте песнь заветную
red;386;Хвала Тебе, Господь! Во тьме Ты солнцем ярким…
red;387;Хвали же Бога в песне
red;388;Да прославится Спаситель
red;389;Звучите, почести Творцу
red;390;Восхвалите Господа
red;391;Славьте, народы, Иисуса Христа
red;392;Исаия о видении изрек
red;393;Как лань желает
red;394;Весельем и песнями славьте
red;395;Нет ничего в целом мире прекрасней
red;396;Моя надежда навсегда
red;397;Дорогой земной дитя Божье идет
red;398;Библия мне говорит
red;399;У креста хочу стоять
red;400;Пусть Господь тебя всегда хранит
red;401;Боже, храни меня
red;402;Воспойте, сестры, воспойте, братья!
red;403;Пой аллилуйя Господу
red;404;Господу да будет слава
red;405;Христос воскрес и жив сейчас
red;406;Бог мой, Ты – скала моя
red;407;Мой Господь, когда я вновь явлюсь пред Тобой
red;408;Слово вечное пошли
red;409;Ты приди, Дух Святый
red;410;Я верю в Творца Вселенной
red;411;Я из глубины души к Тебе взываю
red;412;Ищите прежде Царства Божия
red;413;Он здесь, Он здесь
red;414;Много песен слышим о любви мы
red;415;Даже если б мог я горы двигать
red;416;На ладони Божьей
red;417;Бог Великий, Вседержитель
red;418;Вместе, брат и сестра
red;419;Даю вам ныне Я заповедь любви
red;420;Через моря
red;421;Ты не печалься
red;422;Намного раньше нас они здесь жили
red;423;Вновь пред Тобою в бессилье стою
red;424;Верю тебе, Боже
red;425;Открыта дверь для нас одна
red;426;Что за Друг у нас чудесный?
red;427;Дай мне хоть знак, Спаситель
red;428;Царь моих кратких дней земных
red;429;Скажи, Господь, что значит
red;430;В скорбях устремившись к святым небесам
red;431;Твердо я верю
red;432;Когда этот мир пройдет
red;433;Из-за своей злости ныне стонет земля
red;434;Однажды мое кантеле на небе зазвучит
red;435;Есть на небе обитель, где дети живут
red;436;Laudate, omnes gentes
red;437;Будьте здесь
red;438;На Тебя уповаю всякий день
red;439;Лишь в Господе найдет покой душа
red;440;Только в Господе моя радость
red;441;Тьма ночная
red;442;Не утомится в пути тот, кто горит любовью
red;443;Confitemini Domino
red;444;Adoramus te O Christe
red;445;Gloria, Gloria
red;446;Exaltabo te, Deus meus
red;447;In te confide
red;448;Magnificat
red;449;Laudate Dominum
red;450;Oculi nostri
red;451;С высот Своих с горы Синай
red;452;Мы в Бога веруем
red;453;О Отче наш на Небесах!
red;454;Пришел Господь на Иордан
red;455;Смертью смерть попрал
red;456;Из сердца глубины мой глас

youth;1;Осанна
youth;2;Эммануил
youth;3;В бедной пещере
youth;4;Хор Ангелов запел с небес
youth;5;Кто там вдали идёт?
youth;6;Мир так прекрасен
youth;7;Открыты небеса
youth;8;Тихая ночь, дивная ночь
youth;9;Тихий, тихий
youth;10;Рождество с тобой всегда
youth;11;Песня Ангелов
youth;12;Слава, Слава (С1юпа)
youth;13;В Рождество
youth;14;Когда встречаем Рождество
